company,year,Revenue,GrossProfit,COGS,GrossMargin
Dollar General,CY2014,18909588000.0,5802507000.0,13107081000.0,0.3068552842082017
Dollar General,CY2015,20368562000.0,6306091000.0,14062471000.0,0.30959922453043076
Dollar General,CY2016,21986598000.0,6782638000.0,15203960000.0,0.3084896535607737
Dollar General,CY2017,23470967000.0,7221359000.0,16249608000.0,0.30767198471200613
Dollar General,CY2018,25625043000.0,7803870000.0,17821173000.0,0.3045407572584366
Dollar General,CY2019,27753973000.0,8489061000.0,19264912000.0,0.3058683165829988
Dollar General,CY2020,33746839000.0,10718862000.0,23027977000.0,0.3176256596951199
Dollar General,CY2021,34220449000.0,10813006000.0,23407443000.0,0.315980833565334
Dollar General,CY2022,37844863000.0,11820098000.0,26024765000.0,0.31233031547769113
Dollar General,CY2023,38691609000.0,11719024000.0,26972585000.0,0.3028828291943093
Dollar General,CY2024,40612308000.0,12017497000.0,28594811000.0,0.29590775781568485
Macy's,CY2014,28105000000.0,11242000000.0,16863000000.0,0.4
Macy's,CY2015,27079000000.0,10583000000.0,16496000000.0,0.3908194541895934
Macy's,CY2016,25778000000.0,10157000000.0,15621000000.0,0.39401815501590504
Macy's,CY2017,24837000000.0,9685000000.0,15152000000.0,0.3899424246084471
Macy's,CY2018,24971000000.0,9756000000.0,15215000000.0,0.39069320411677544
Macy's,CY2019,24560000000.0,9389000000.0,15171000000.0,0.38228827361563517
Macy's,CY2020,17346000000.0,5060000000.0,12286000000.0,0.2917099043007033
Macy's,CY2021,25399000000.0,10443000000.0,14956000000.0,0.41115791960313397
Macy's,CY2022,25449000000.0,10143000000.0,15306000000.0,0.3985618295414358
Macy's,CY2023,23866000000.0,9723000000.0,14143000000.0,0.4073996480348613
Macy's,CY2024,23006000000.0,9266000000.0,13740000000.0,0.4027644962183778
Nordstrom,CY2014,13506000000.0,4704000000.0,8802000000.0,0.3482896490448689
Nordstrom,CY2015,14437000000.0,4927000000.0,9510000000.0,0.3412758883424534
Nordstrom,CY2016,14757000000.0,5058000000.0,9699000000.0,0.34275259199024194
Nordstrom,CY2017,15478000000.0,5247000000.0,10231000000.0,0.3389972864711203
Nordstrom,CY2018,15860000000.0,5325000000.0,10535000000.0,0.33575031525851196
Nordstrom,CY2019,15524000000.0,5200000000.0,10324000000.0,0.33496521515073435
Nordstrom,CY2020,10715000000.0,3041000000.0,7674000000.0,0.28380774615025667
Nordstrom,CY2021,14789000000.0,5159000000.0,9630000000.0,0.34884035431739807
Nordstrom,CY2022,15530000000.0,5345000000.0,10185000000.0,0.34417256922086287
Nordstrom,CY2023,14693000000.0,5054000000.0,9639000000.0,0.34397332062887087
Nordstrom,CY2024,15016000000.0,5163000000.0,9853000000.0,0.34383324453915826
Target,CY2014,72618000000.0,21340000000.0,51278000000.0,0.29386653446803823
Target,CY2015,73785000000.0,21544000000.0,52241000000.0,0.2919834654740123
Target,CY2016,69495000000.0,20350000000.0,49145000000.0,0.29282682207353045
Target,CY2017,71879000000.0,20754000000.0,51125000000.0,0.28873523560427944
Target,CY2018,75356000000.0,22057000000.0,53299000000.0,0.2927039651786188
Target,CY2019,78112000000.0,23248000000.0,54864000000.0,0.29762392462105697
Target,CY2020,93561000000.0,27384000000.0,66177000000.0,0.29268605508705553
Target,CY2021,106005000000.0,31042000000.0,74963000000.0,0.29283524362058394
Target,CY2022,109120000000.0,26891000000.0,82229000000.0,0.24643511730205278
Target,CY2023,107412000000.0,29676000000.0,77736000000.0,0.2762819796670763
Target,CY2024,106566000000.0,30064000000.0,76502000000.0,0.28211624720830286
Walmart,CY2014,485651000000.0,120565000000.0,365086000000.0,0.24825440491216944
Walmart,CY2015,482130000000.0,121146000000.0,360984000000.0,0.2512724783772012
Walmart,CY2016,485873000000.0,124617000000.0,361256000000.0,0.25648060295591646
Walmart,CY2017,500343000000.0,126947000000.0,373396000000.0,0.25371994811559273
Walmart,CY2018,514405000000.0,129104000000.0,385301000000.0,0.25097734275522204
Walmart,CY2019,523964000000.0,129359000000.0,394605000000.0,0.24688528219495995
Walmart,CY2020,559151000000.0,138836000000.0,420315000000.0,0.24829786587165184
Walmart,CY2021,572754000000.0,143754000000.0,429000000000.0,0.25098733487675334
Walmart,CY2022,611289000000.0,147568000000.0,463721000000.0,0.24140463839525986
Walmart,CY2023,648125000000.0,157983000000.0,490142000000.0,0.24375390549662487
Walmart,CY2024,680985000000.0,169232000000.0,511753000000.0,0.24851061330278934
